DataNo,FrameNo,SampleNo,Ch0,Ch1
595,595,0,0.044861,-0.005493
596,596,0,0.014343,-0.014648
597,597,0,-0.013428,-0.004578
598,598,0,0.082703,0
599,599,0,0.018921,-0.033569
600,600,0,0.036621,-0.005188
601,601,0,0.027771,-0.005188
602,602,0,0.011292,-0.006104
603,603,0,-0.0354,-0.016174
604,604,0,-0.013428,-0.00061
605,605,0,0.010071,-0.009766
606,606,0,0.026855,0.009155
607,607,0,0.010376,-0.002747
608,608,0,0.004578,-0.000916
609,609,0,0.037842,0.015869
610,610,0,-0.052185,-0.010376
611,611,0,0.042114,-0.006714
612,612,0,0.003967,-0.006104
613,613,0,0.092468,0.016174
614,614,0,0.032654,-0.038452
615,615,0,0.029297,-0.021973
616,616,0,-0.006409,-0.020447
617,617,0,-0.003662,-0.003357
618,618,0,0.002747,-0.004272
619,619,0,-0.00885,-0.017395
620,620,0,-0.00885,-0.008545
621,621,0,0.016479,-0.003967
622,622,0,0.011597,-0.018311
623,623,0,0.045166,-0.001221
624,624,0,-0.010376,-0.005798
625,625,0,0.010071,-0.010986
626,626,0,0.029602,-0.013733
627,627,0,0.018921,0.007935
628,628,0,-0.00824,-0.027771
629,629,0,0.012512,0.002136
630,630,0,-0.027466,0.007324
631,631,0,0.005493,-0.00061
632,632,0,0.042725,-0.002136
633,633,0,0.039673,0.005493
634,634,0,0.023193,0.008545
635,635,0,-0.018921,-0.003967
636,636,0,0.032654,0.003052
637,637,0,0.050049,-0.015564
638,638,0,0.054626,-0.00061
639,639,0,0.041809,-0.005493
640,640,0,-0.084229,-0.017395
641,641,0,0.063782,-0.015564
642,642,0,0.042114,0.00824
643,643,0,0.061951,-0.004883
644,644,0,0.014648,-0.025024
645,645,0,0.028381,0.011902
646,646,0,-0.008545,-0.007935
647,647,0,0.00824,-0.006409
648,648,0,-0.001221,-0.005798
649,649,0,0.113525,0.003662
650,650,0,0.028076,-0.004883
651,651,0,0.075073,-0.010376
652,652,0,0.058899,0.006104
653,653,0,0.006104,-0.013123
654,654,0,0.036621,-0.004272
655,655,0,0.053406,-0.030212
656,656,0,0.071411,0
657,657,0,0.080261,0.002136
658,658,0,0.014954,0.001831
659,659,0,0.025635,-0.009766
660,660,0,0.028076,-0.002747
661,661,0,-0.003357,-0.014343
662,662,0,0.022278,-0.004272
663,663,0,0.065002,0.005493
664,664,0,0.025024,0.011597
665,665,0,0.001526,-0.020142
666,666,0,-0.032654,-0.022888
667,667,0,0.026245,-0.022583
668,668,0,0.014038,-0.023499
669,669,0,-0.056458,-0.010376
670,670,0,0.095215,0.003662
671,671,0,0.001831,-0.002136
672,672,0,0.03418,0.018921
673,673,0,0.038147,-0.004578
674,674,0,0.036011,-0.007935
675,675,0,-0.026855,-0.007324
676,676,0,-0.044861,-0.011597
677,677,0,0.102844,0.004272
678,678,0,0.061035,0.00885
679,679,0,0.012817,-0.002441
680,680,0,0.024719,0.010071
681,681,0,0.016785,-0.020447
682,682,0,0.048828,-0.000916
683,683,0,0.049133,-0.002441
684,684,0,0.024414,0.038757
685,685,0,0.00061,-0.018921
686,686,0,0.054932,0.014038
687,687,0,0.057678,0.006409
688,688,0,0.08667,0.003052
689,689,0,0.015259,0.016479
690,690,0,0.053711,0.003967
691,691,0,0.049438,0.010071
692,692,0,0.070801,-0.000305
693,693,0,0.071716,0.004578
694,694,0,0.028381,-0.00946
695,695,0,0.038147,0.011292
696,696,0,-0.084534,-0.012512
697,697,0,0.06958,0.00061
698,698,0,0.030518,-0.012207
699,699,0,0.014648,-0.001526
700,700,0,0.065918,0.001221
701,701,0,0.070496,0.003357
702,702,0,0.020142,-0.013123
703,703,0,0.08606,0.003662
704,704,0,0.015869,0.013123
705,705,0,0.072327,0.014954
706,706,0,-0.010376,-0.009155
707,707,0,0.039978,0.011902
708,708,0,0.051575,-0.012512
709,709,0,-0.016174,-0.007935
710,710,0,-0.012512,-0.027466
711,711,0,0.039368,-0.028076
712,712,0,-0.016174,-0.003662
713,713,0,0.037842,-0.004883
714,714,0,0.160828,0.010376
715,715,0,0.069885,0.023804
716,716,0,-0.08728,-0.016785
717,717,0,0.064087,0.002136
718,718,0,0.035095,-0.016785
719,719,0,0.106506,-0.014343
720,720,0,0.111694,0.011292
721,721,0,0.014038,-0.005188
722,722,0,0.033264,0.001831
723,723,0,0.027466,0.000305
724,724,0,0.00061,-0.019531
725,725,0,0.055847,0.015869
726,726,0,0.12085,0.003052
727,727,0,0.053406,-0.00824
728,728,0,0.042114,-0.010071
729,729,0,0.049744,0.006409
730,730,0,0.024109,-0.00824
731,731,0,0.091553,-0.010681
732,732,0,0.050964,-0.001831
733,733,0,0.08728,0.005798
734,734,0,0.07782,-0.011292
735,735,0,0.036316,-0.001831
736,736,0,0.049744,0.006104
737,737,0,0.061646,0.009155
738,738,0,0.031128,0.007324
739,739,0,0.016174,-0.001221
740,740,0,0.053711,-0.005188
741,741,0,0.037537,0.002136
742,742,0,-0.014038,-0.00824
743,743,0,0.061951,0.005493
744,744,0,0.061035,0.015259
745,745,0,0.033569,-0.012817
746,746,0,0.055237,0.001831
747,747,0,0.064392,0
748,748,0,0.042114,-0.014954
749,749,0,0.085144,0.005188
750,750,0,0.01709,-0.005798
751,751,0,0.047607,-0.001526
752,752,0,0.046082,-0.005188
753,753,0,0.06958,-0.011292
754,754,0,0.068054,-0.004272
755,755,0,0.014648,-0.016785
756,756,0,0.044861,-0.002747
757,757,0,0.055237,0.003357
758,758,0,0.05127,0.019226
759,759,0,0.094299,0.004578
760,760,0,0.035706,-0.00061
761,761,0,0.045776,-0.007019
762,762,0,-0.018005,-0.010681
763,763,0,0.072632,-0.018311
764,764,0,0.057678,0.000305
765,765,0,0.059509,-0.003052
766,766,0,0.068359,-0.00061
767,767,0,0.022888,-0.00885
768,768,0,0.050964,0.000305
769,769,0,0.036926,-0.004272
770,770,0,0.016479,-0.003052
771,771,0,0.06897,0.017395
772,772,0,-0.006409,-0.007935
773,773,0,0.065918,0.0177
774,774,0,0.084839,0.007935
775,775,0,0.051575,-0.004272
776,776,0,-0.022278,-0.007324
777,777,0,0.076904,0.003967
778,778,0,0.029297,0.005493
779,779,0,0.123291,0.009155
780,780,0,0.036926,-0.028992
781,781,0,0.079651,0.010071
782,782,0,0.154114,0.010071
783,783,0,0.073853,-0.005493
784,784,0,0.044556,0.015564
785,785,0,0.065613,-0.013428
786,786,0,0.032349,-0.005798
787,787,0,0.074463,-0.004578
788,788,0,0.06897,-0.015869
789,789,0,0.065002,0.022278
790,790,0,0.079041,-0.002136
791,791,0,0.101013,-0.003662
792,792,0,0.022888,-0.003052
793,793,0,0.128174,0.007629
794,794,0,0.112,0.007019
795,795,0,0.081482,0.002136
796,796,0,0.079041,0.025024
797,797,0,0.032959,0.00061
798,798,0,0.08606,0.016479
799,799,0,0.055237,0.004883
800,800,0,0.064087,0.012512
801,801,0,0.068665,0.003052
802,802,0,0.050659,0.005798
803,803,0,0.081482,0.002747
804,804,0,0.090942,0.007935
805,805,0,0.042419,-0.002441
806,806,0,0.113831,0.014343
807,807,0,0.118103,0.010986
808,808,0,0.090027,0.026855
809,809,0,0.06958,0.007935
810,810,0,0.111389,-0.008545
811,811,0,0.050354,0.005493
812,812,0,0.078735,-0.006409
813,813,0,0.09552,0.010681
